,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
157,12,71,2021-03-11 16:22:50+00:00,Kaz Fiasco is Partying!,117,Kaz Fiasco is Partying!,24,party,-1,,,,-1,-1,-1
158,12,71,2021-03-11 16:27:06+00:00,Farrell Seagull is Partying!,117,Farrell Seagull is Partying!,24,party,-1,,,,-1,-1,-1
159,12,75,2021-03-11 21:22:17+00:00,Val Hitherto is Partying!,117,Val Hitherto is Partying!,24,party,-1,,,,-1,-1,-1
160,12,75,2021-03-11 21:23:02+00:00,Grollis Zephyr is Partying!,117,Grollis Zephyr is Partying!,24,party,-1,,,,-1,-1,-1
161,12,76,2021-03-11 22:03:11+00:00,Ayanna Dumpington is Partying!,117,Ayanna Dumpington is Partying!,24,party,-1,,,,-1,-1,-1
162,12,76,2021-03-11 22:05:37+00:00,Norris Firestar has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Theodore Holloway!
They're replaced by Norris Firestar.",54,thwack,-1,,,,-1,-1,-1
163,12,77,2021-03-11 23:13:49+00:00,Tai Beanbag has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Lawrence Horne!
They're replaced by Tai Beanbag.",54,thwack,53,2021-03-11 23:14:00.984146+00:00,Tai Beanbag,thwack,10899599585976513583,5242243904399149083,24
164,12,77,2021-03-11 23:20:23+00:00,Gerund Pantheocide is Partying!,117,Gerund Pantheocide is Partying!,24,party,-1,,,,-1,-1,-1
165,12,77,2021-03-11 23:22:23+00:00,Gerund Pantheocide is Partying!,117,Gerund Pantheocide is Partying!,24,party,-1,,,,-1,-1,-1
166,12,78,2021-03-12 00:00:41+00:00,Enid Marlow is Partying!,117,Enid Marlow is Partying!,24,party,-1,,,,-1,-1,-1
167,12,78,2021-03-12 00:03:31+00:00,Val Hitherto is Partying!,117,Val Hitherto is Partying!,24,party,-1,,,,-1,-1,-1
